timestamp,dimension,iteration,configuration,time
1742870604,1600,4,"Standard",7.455795505
1742870608,1600,4,"Transpose Only",3.641718294
1742870610,1600,4,"O3 + loop",1.812710857
1742870611,1600,4,"O3 + transpose",0.630735225
1742870619,1600,5,"Standard",7.599619969
1742870623,1600,5,"Transpose Only",3.464722950
1742870625,1600,5,"O3 + loop",1.245798514
1742870625,1600,5,"O3 + transpose",0.495006229
1742870633,1600,6,"Standard",7.452312156
1742870637,1600,6,"Transpose Only",3.547040519
1742870638,1600,6,"O3 + loop",1.088361919
1742870639,1600,6,"O3 + transpose",0.490461674
1742870643,1600,7,"Standard",3.871812089
1742870647,1600,7,"Transpose Only",3.549193888
1742870649,1600,7,"O3 + loop",1.122419943
1742870650,1600,7,"O3 + transpose",0.529810547
1742870654,1600,8,"Standard",3.874868376
1742870658,1600,8,"Transpose Only",3.662375685
1742870659,1600,8,"O3 + loop",1.131848085
1742870660,1600,8,"O3 + transpose",0.517002188
1742870665,1600,9,"Standard",4.411292705
1742870669,1600,9,"Transpose Only",3.802192947
1742870671,1600,9,"O3 + loop",1.397159682
1742870672,1600,9,"O3 + transpose",0.492300605
1742870680,1600,10,"Standard",7.550947407
1742870687,1600,10,"Transpose Only",6.538244719
1742870688,1600,10,"O3 + loop",0.978616394
1742870689,1600,10,"O3 + transpose",0.492056697
1742870693,1600,11,"Standard",3.681971698
1742870697,1600,11,"Transpose Only",3.437748521
1742870698,1600,11,"O3 + loop",0.982693381
1742870699,1600,11,"O3 + transpose",0.534060640
1742870706,1600,12,"Standard",7.282713893
1742870710,1600,12,"Transpose Only",3.373151773
1742870712,1600,12,"O3 + loop",0.969472665
1742870712,1600,12,"O3 + transpose",0.457951551
1742870808,3200,1,"Standard",94.960176512
1742870836,3200,1,"Transpose Only",27.124795588
1742870857,3200,1,"O3 + loop",19.787218693
1742870862,3200,1,"O3 + transpose",3.957936354
1742870948,3200,2,"Standard",84.563331442
1742870977,3200,2,"Transpose Only",28.107130326
1742871000,3200,2,"O3 + loop",21.478899903
1742871005,3200,2,"O3 + transpose",4.104853749
1742871088,3200,3,"Standard",82.240280511
1742871117,3200,3,"Transpose Only",27.959852409
1742871138,3200,3,"O3 + loop",19.748486701
1742871143,3200,3,"O3 + transpose",4.313059670
1742871230,3200,4,"Standard",86.068707759
1742871263,3200,4,"Transpose Only",27.713662699
1742871283,3200,4,"O3 + loop",19.690789985
1742871288,3200,4,"O3 + transpose",4.108572999
1742871380,3200,5,"Standard",90.541522558
1742871409,3200,5,"Transpose Only",27.949215073
1742871430,3200,5,"O3 + loop",19.700144776
1742871438,3200,5,"O3 + transpose",7.510051772
1742871529,3200,6,"Standard",89.825773330
1742871558,3200,6,"Transpose Only",27.992101855
1742871579,3200,6,"O3 + loop",19.688893675
1742871588,3200,6,"O3 + transpose",7.735241747
1742871689,3200,7,"Standard",100.247232105
1742871717,3200,7,"Transpose Only",27.319378721
1742871738,3200,7,"O3 + loop",19.703440576
1742871743,3200,7,"O3 + transpose",4.117546195
1742871826,3200,8,"Standard",81.266672535
1742871855,3200,8,"Transpose Only",28.161197982
1742871875,3200,8,"O3 + loop",19.718465709
1742871881,3200,8,"O3 + transpose",4.040243396
1742871975,3200,9,"Standard",93.352569672
1742872004,3200,9,"Transpose Only",27.694664464
1742872025,3200,9,"O3 + loop",19.920919358
1742872030,3200,9,"O3 + transpose",4.010123851
1742872113,3200,10,"Standard",82.395861643
1742872142,3200,10,"Transpose Only",28.124450465
1742872163,3200,10,"O3 + loop",19.693351434
1742872168,3200,10,"O3 + transpose",4.210158125
1742872249,3200,11,"Standard",79.743127127
1742872278,3200,11,"Transpose Only",28.279283819
1742872299,3200,11,"O3 + loop",19.905449728
1742872304,3200,11,"O3 + transpose",4.017118650
1742872394,3200,12,"Standard",88.126087614
1742872425,3200,12,"Transpose Only",27.281199821
1742872446,3200,12,"O3 + loop",19.809582450
1742872451,3200,12,"O3 + transpose",4.144976256
