timestamp,dimension,iteration,configuration,time
1742850142,1600,3,"O3 + loop",0.927080971
1742850143,1600,3,"O3 + transpose",0.553605732
1742850148,1600,4,"Standard",4.298349116
1742850152,1600,4,"Transpose Only",3.361342750
1742850153,1600,4,"O3 + loop",0.924770211
1742850154,1600,4,"O3 + transpose",0.546587768
1742850159,1600,5,"Standard",4.373595658
1742850162,1600,5,"Transpose Only",3.426411024
1742850164,1600,5,"O3 + loop",0.968199361
1742850165,1600,5,"O3 + transpose",0.548317132
1742850172,1600,6,"Standard",7.140197727
1742850176,1600,6,"Transpose Only",3.439213397
1742850177,1600,6,"O3 + loop",0.951557710
1742850178,1600,6,"O3 + transpose",0.553618346
1742850183,1600,7,"Standard",4.303752477
1742850186,1600,7,"Transpose Only",3.415400167
1742850188,1600,7,"O3 + loop",0.952971329
1742850189,1600,7,"O3 + transpose",0.555495007
1742850193,1600,8,"Standard",4.348175414
1742850197,1600,8,"Transpose Only",3.469515790
1742850198,1600,8,"O3 + loop",0.943122618
1742850199,1600,8,"O3 + transpose",0.551232438
1742850204,1600,9,"Standard",4.442060343
1742850211,1600,9,"Transpose Only",7.133518666
1742850213,1600,9,"O3 + loop",1.096699680
1742850214,1600,9,"O3 + transpose",0.593050687
1742850219,1600,10,"Standard",4.437872207
1742850222,1600,10,"Transpose Only",3.432621581
1742850224,1600,10,"O3 + loop",1.029570682
1742850225,1600,10,"O3 + transpose",0.551150472
1742850233,1600,11,"Standard",8.005856828
1742850237,1600,11,"Transpose Only",3.397169938
1742850238,1600,11,"O3 + loop",0.934579022
1742850239,1600,11,"O3 + transpose",0.547809119
1742850244,1600,12,"Standard",4.361135622
1742850247,1600,12,"Transpose Only",3.516294677
1742850249,1600,12,"O3 + loop",0.959540482
1742850250,1600,12,"O3 + transpose",0.558281062
1742850303,3200,1,"Standard",52.395233039
1742850332,3200,1,"Transpose Only",27.763254038
1742850355,3200,1,"O3 + loop",21.618102196
1742850360,3200,1,"O3 + transpose",4.189728192
1742850412,3200,2,"Standard",50.730369111
1742850441,3200,2,"Transpose Only",27.875201435
1742850463,3200,2,"O3 + loop",21.541283646
1742850469,3200,2,"O3 + transpose",4.333687870
1742850519,3200,3,"Standard",49.674894262
1742850548,3200,3,"Transpose Only",27.942274836
1742850571,3200,3,"O3 + loop",21.656684990
1742850580,3200,3,"O3 + transpose",7.684220840
1742850630,3200,4,"Standard",48.849652322
1742850659,3200,4,"Transpose Only",28.128914740
1742850682,3200,4,"O3 + loop",22.311887063
1742850687,3200,4,"O3 + transpose",4.265121798
1742850738,3200,5,"Standard",49.461070226
1742850767,3200,5,"Transpose Only",28.030004752
1742850790,3200,5,"O3 + loop",22.181415309
1742850796,3200,5,"O3 + transpose",4.273431567
1742850846,3200,6,"Standard",49.412621679
1742850876,3200,6,"Transpose Only",28.181493858
1742850898,3200,6,"O3 + loop",21.614386040
1742850903,3200,6,"O3 + transpose",4.264064001
1742850957,3200,7,"Standard",52.416392722
1742850986,3200,7,"Transpose Only",28.162075822
1742851009,3200,7,"O3 + loop",21.763657245
1742851015,3200,7,"O3 + transpose",4.438113165
1742851065,3200,8,"Standard",49.535785690
1742851094,3200,8,"Transpose Only",28.195443675
1742851117,3200,8,"O3 + loop",21.728878288
1742851127,3200,8,"O3 + transpose",8.551288850
1742851180,3200,9,"Standard",51.898826320
1742851209,3200,9,"Transpose Only",28.312298866
1742851232,3200,9,"O3 + loop",21.841388973
1742851237,3200,9,"O3 + transpose",4.254228739
1742851289,3200,10,"Standard",50.084895732
1742851318,3200,10,"Transpose Only",28.100675268
1742851341,3200,10,"O3 + loop",21.759792400
1742851346,3200,10,"O3 + transpose",4.238910327
1742851397,3200,11,"Standard",49.941975754
1742851426,3200,11,"Transpose Only",28.221280825
1742851449,3200,11,"O3 + loop",21.914177745
1742851455,3200,11,"O3 + transpose",4.294473870
1742851509,3200,12,"Standard",53.123082220
1742851538,3200,12,"Transpose Only",28.129491965
1742851561,3200,12,"O3 + loop",21.955419750
1742851566,3200,12,"O3 + transpose",4.258861820
